epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.69486,2.55866,4.47123,1.60763,0.00238,0.04355,0.0007,0.00016,2.35299,4.22018,1.44283,0.0004287,0.0004287,0.0004287
2,4.21151,2.57039,3.18894,1.3833,0.00153,0.05566,0.00462,0.00156,2.22319,3.92026,1.3886,0.00089906,0.00089906,0.00089906
3,5.68024,2.31503,2.34839,1.3189,0.00148,0.05982,0.01693,0.00257,2.09546,3.8458,1.36704,0.00136313,0.00136313,0.00136313
4,7.09482,2.2398,2.17531,1.32088,0.00327,0.13358,0.00208,0.00128,1.98134,4.08758,1.3604,0.00140071,0.00140071,0.00140071
5,8.4924,2.15181,1.84044,1.28469,0.00741,0.27531,0.0122,0.00547,2.03318,6.14606,1.28027,0.00139127,0.00139127,0.00139127
6,9.90498,2.13522,1.72227,1.23588,0.36383,0.04592,0.06872,0.02493,2.09529,3.07072,1.29208,0.00138184,0.00138184,0.00138184
7,11.3205,2.01928,1.61703,1.18877,0.1987,0.10477,0.0895,0.03745,1.94723,3.09737,1.29552,0.00137241,0.00137241,0.00137241
8,12.7686,1.91702,1.48645,1.1576,0.68007,0.2154,0.46981,0.25269,1.79628,2.35262,1.20694,0.00136298,0.00136298,0.00136298
9,14.2056,1.78643,1.4152,1.13041,0.54871,0.30022,0.41834,0.23145,1.72441,2.05593,1.20251,0.00135355,0.00135355,0.00135355
10,15.6652,1.69638,1.31446,1.09826,0.62453,0.46399,0.59151,0.2911,1.68127,1.63348,1.12555,0.00134412,0.00134412,0.00134412
11,17.0894,1.73349,1.31697,1.08229,0.59486,0.45833,0.6138,0.34501,1.55415,1.51031,1.10455,0.00133469,0.00133469,0.00133469
12,18.5593,1.65713,1.22745,1.07745,0.53496,0.55885,0.5626,0.31634,1.50577,1.39111,1.09,0.00132525,0.00132525,0.00132525
13,19.969,1.64225,1.21902,1.07808,0.4755,0.57265,0.54287,0.30851,1.47896,1.45095,1.05053,0.00131582,0.00131582,0.00131582
14,21.3688,1.67183,1.18728,1.06021,0.63631,0.65244,0.6488,0.35508,1.44842,1.16299,1.05051,0.00130639,0.00130639,0.00130639
15,22.8002,1.59404,1.15843,1.01969,0.66781,0.65497,0.66995,0.38064,1.41395,1.2351,1.02849,0.00129696,0.00129696,0.00129696
16,24.2284,1.66698,1.1575,1.05292,0.70154,0.67233,0.71187,0.40382,1.45316,1.28203,1.02983,0.00128753,0.00128753,0.00128753
17,25.6693,1.56672,1.11704,1.02026,0.6824,0.69105,0.70346,0.38457,1.47116,1.18592,1.02489,0.0012781,0.0012781,0.0012781
18,27.0705,1.54802,1.08246,1.05706,0.76727,0.68115,0.73496,0.42268,1.32609,1.15712,1.02016,0.00126867,0.00126867,0.00126867
